time,true_detuning,measured_offset,estimated_offset,servo_correction,corrected_offset
8498.0,0.00019238859206378395,0.00030220329299474047,0.0003272462875896701,1.8362314379483507e-05,0.00017402627768430044
8499.0,0.0003317934837572251,0.0005211799817647633,0.0004471039021537052,2.4355195107685264e-05,0.0003074382886495398
8500.0,0.00027156821979547807,0.0004265783600590489,0.0004344184195016909,2.372092097508455e-05,0.0002478472988203935
8501.0,0.00017717857058152374,0.0002783114472809656,0.000337939004788447,1.8896950239422352e-05,0.0001582816203421014
8502.0,0.00016719144706061107,0.00026262371043098143,0.0002913915930028301,1.6569579650141508e-05,0.00015062186741046955
8503.0,0.00016882744601055472,0.00026519353155868286,0.00027520030059098897,1.576001502954945e-05,0.00015306743098100528
8504.0,3.4548371837684526e-05,5.426845557487958e-05,0.0001386569111738093,8.932845558690467e-06,2.561552627899406e-05
8505.0,-6.54948998285432e-05,-0.00010287914804521514,-1.0620582932255204e-05,1.4668467368007885e-06,-6.6961746565344e-05
8506.0,-0.00014451950759270335,-0.00022701071136457807,-0.00014435703713338574,-5.2488473806824154e-06,-0.00013927066021202094
8507.0,-0.00017929572788911923,-0.0002816370701823334,-0.00022920076353434427,-9.536873853437212e-06,-0.00016975885403568201
8508.0,-0.00024832424720505695,-0.0003900668137808705,-0.0003286214502226459,-1.4573632477896824e-05,-0.00023375061472716012
8509.0,-0.0005925158852136628,-0.0009307217545619084,-0.0007007399029409661,-3.331970309440102e-05,-0.0005591961821192618
8510.0,-0.00044811111530691317,-0.0007038912846196732,-0.0007026875639299308,-3.355762365663524e-05,-0.0004145534916502779
8511.0,-0.0004217394902305128,-0.0006624668343656326,-0.0006778297860068768,-3.245030071768392e-05,-0.00038928918951282884
8512.0,-0.00033234913183844284,-0.0005220527917107476,-0.0005815543088665704,-2.7752837722441916e-05,-0.00030459629411600095
8513.0,-0.00021704095191096845,-0.0003409271289689375,-0.0004328385330727978,-2.0403616639367847e-05,-0.0001966373352716006
8514.0,-0.00012320564554610993,-0.00019353097527111118,-0.0002849383285866254,-1.3065594080776551e-05,-0.00011014005146533338
8515.0,-9.078669798402523e-05,-0.0001426074116379905,-0.00019697298426243058,-8.706721461419296e-06,-8.207997652260593e-05
8516.0,-0.00011383808890581463,-0.00017881645175021887,-0.00018575163005204122,-8.182804076910236e-06,-0.00010565528482890439
8517.0,-0.0001753720329304131,-0.000275473744592164,-0.00024120294638034826,-1.1003610482601658e-05,-0.00016436842244781143
8518.0,-0.0002756104296338631,-0.0004329278483314325,-0.0003596954522758594,-1.7000174867832386e-05,-0.00025861025476603075
8519.0,-0.00017641627178038545,-0.0002771140311318143,-0.0003086573271695703,-1.4510000077951844e-05,-0.0001619062717024336
8520.0,-0.00015238544649949628,-0.00023936649925254683,-0.0002658332404082297,-1.2421962387966462e-05,-0.0001399634841115298
8521.0,1.5880984404876804e-05,2.4945791968766784e-05,-8.612191518343973e-05,-3.4536205097636498e-06,1.9334604914640454e-05
8522.0,6.474530937408929e-05,0.00010170169411405361,2.9959459252091924e-05,2.3564401038633514e-06,6.238886927022594e-05
8523.0,0.00017322139273740015,0.0002720955268967207,0.0001796077789587162,9.874777644986309e-06,0.00016334661509241383
8524.0,0.00011214330883218883,0.00017615429744211042,0.0001774734100019343,9.8035538791476e-06,0.00010233975495304123
8525.0,0.00015683036425271117,0.0002463485596991555,0.000220040593495054,1.1975921172502596e-05,0.00014485444308020857
8526.0,0.00026328574414463375,0.0004135682779136951,0.00033964728022983765,1.8024184965287744e-05,0.00024526155917934604
8527.0,0.00020591190441447877,0.00032344566219505433,0.0003296341296115983,1.75894542602981e-05,0.00018832245015418069
8528.0,7.938362931041629e-05,0.00012469551327679018,0.00020297509910931246,1.129709775500567e-05,6.808653155541062e-05
8529.0,0.00014195856302252836,0.00022298798905751038,0.0002153437453104099,1.1958598814122623e-05,0.00012999996420840575
8530.0,9.442066746450536e-05,0.00014831563754008625,0.00017391809650675895,9.922099993241427e-06,8.449856747126392e-05
8531.0,0.00014735772120265666,0.00023146896685921625,0.0002094864904667162,1.1742416989332634e-05,0.00013561530421332403
8532.0,0.00017307203061728375,0.00027186090942835084,0.00024803600141353236,1.3719499736956147e-05,0.0001593525308803276
8533.0,8.575010962453681e-05,0.00013469595715534521,0.00017798800177555533,1.0252697355412407e-05,7.54974122691244e-05
8534.0,0.0005911571218215755,0.0009285874141641559,0.0006418839505674094,3.3575871585118595e-05,0.0005575812502364569
8535.0,0.0006588135764009468,0.0010348619162992012,0.0008847576902194482,4.589651010576443e-05,0.0006129170662951824
8536.0,0.0005368314558666682,0.0008432528629936931,0.0008591062962967395,4.478576166888834e-05,0.0004920456941977799
8537.0,0.0005123831535996892,0.0008048495616830298,0.000825573790186884,4.327425112143294e-05,0.0004691089024782563
8538.0,0.0004886233029685538,0.000767527677432156,0.0007896993195896533,4.148496597948267e-05,0.0004471383369890711
8539.0,0.0004679734690957441,0.0007350909957005991,0.0007559495193575549,3.979747596787775e-05,0.00042817599312786633
8540.0,0.00042640628684135514,0.0006697974210796709,0.0007027045944197012,3.713522972098506e-05,0.0003892710571203701
8541.0,0.00023266046184546992,0.00036546219755601017,0.0004942773307104592,2.6713866535522963e-05,0.00020594659530994696
8542.0,0.00030483310361495056,0.00047883071651599884,0.0004847307981271761,2.6236539906358808e-05,0.00027859656370859173
8543.0,0.0002462170171783454,0.000386756784635095,0.0004241795277748292,2.3208976388741463e-05,0.00022300804078960394
8544.0,0.00028508783054898294,0.00044781491464543355,0.0004387870001981157,2.393935000990579e-05,0.00026114848053907717
8545.0,0.00015854489548906405,0.0002490417390542399,0.0003215179796069757,1.8075898980348786e-05,0.00014046899650871526
8546.0,-6.542018485378097e-05,-0.00010276178603788044,5.9298663699614636e-05,4.964933184980733e-06,-7.03851180387617e-05
8547.0,-1.7006884711601924e-05,-2.6714352034662436e-05,6.139696500951908e-06,2.3069848250475956e-06,-1.931386953664952e-05
8548.0,-0.00014881600867028307,-0.0002337596394469399,-0.00014212624699337471,-5.134737599067411e-06,-0.00014368127107121565
8549.0,-0.00022284894166919216,-0.00035005029786039366,-0.00027063037750775444,-1.1614070200287948e-05,-0.0002112348714689042
8550.0,-0.00014267860327899206,-0.00022411902564273278,-0.00024188478119246525,-1.0225167340761981e-05,-0.00013245343593823008
8551.0,-3.090166898195823e-05,-4.854022812528225e-05,-0.00012239127585728842,-4.274970329174598e-06,-2.6626698652783632e-05
8552.0,-3.331691355169005e-05,-5.2334085423322296e-05,-7.909355101277336e-05,-2.125902797151399e-06,-3.119101075453865e-05
8553.0,-0.00014029107451420366,-0.00022036870424360644,-0.00016640639747527773,-6.524826399771674e-06,-0.000133766248114432
8554.0,-0.00015396441655152833,-0.00024184673959926073,-0.00021303109303081967,-8.898667396154936e-06,-0.0001450657491553734
8555.0,-6.168742699433633e-05,-9.689838370824377e-05,-0.000141257131463856,-5.338220744099522e-06,-5.6349206250236805e-05
8556.0,-2.529502074205168e-05,-3.973332566589716e-05,-7.851196881347379e-05,-2.2166650053431067e-06,-2.3078355736708572e-05
8557.0,-4.419171139481431e-05,-6.941617792480259e-05,-7.289046088971337e-05,-1.9501677013330284e-06,-4.224154369348128e-05
8558.0,-0.0001025257467114232,-0.0001610470662249952,-0.00012737423931972786,-4.699831470697698e-06,-9.78259152407255e-05
8559.0,2.5694703017796364e-05,4.036114511676847e-05,-2.3708070621942983e-05,4.787353500671569e-07,2.5215967667729205e-05
8560.0,9.31303418548521e-05,0.00014628879881531387,8.135577267135997e-05,5.748198669266576e-06,8.738214318558552e-05
8561.0,7.15270397807624e-05,0.00011235441131643431,0.00010051398495899191,6.726212080639972e-06,6.480082770012243e-05
8562.0,8.69454469315454e-05,0.00013657358860372226,0.00012280004563228485,7.865075123431076e-06,7.908037180811433e-05
8563.0,0.0002837646130263678,0.00044573640945441695,0.0003223856946776644,1.790883471463559e-05,0.0002658557783117322
8564.0,0.00022240825828258656,0.00034935807402228236,0.00033905554187009393,1.8810138182631083e-05,0.0002035981200999555
8565.0,0.00025108990314409035,0.00039441109591767387,0.00037326715573758016,2.059537230715291e-05,0.00023049453083693743
